 NPOZ,NLIM,MEAN1,MEAN2,P,B,M1DM2,NLIM1,B1,N100MB,PN,PP,BPN,BPP,UNK1,UNK2
   36 ,  2  ,     50.0000   ,      13.00,      205340,  11.41,    3.85,   2,  11.41,  88.59,   2560,   1536120,   0.15,  88.44,     10000,      8534
   36 ,  2  ,     60.0000   ,      13.00,      219890,  12.22,    4.62,   2,  12.22,  87.78,   2770,   1520820,   0.16,  87.62,     10000,      8449
   36 ,  2  ,     70.0000   ,      13.00,      259300,  14.41,    5.38,   2,  14.41,  85.59,   3500,   1483740,   0.20,  85.39,     10000,      8243
   36 ,  2  ,     80.0000   ,      13.00,      283150,  15.73,    6.15,   2,  15.73,  84.27,   3770,   1458540,   0.22,  84.05,     10000,      8103
   36 ,  2  ,     90.0000   ,      13.00,      299790,  16.66,    6.92,   2,  16.66,  83.35,   3330,   1440900,   0.19,  83.15,     10000,      8005
   36 ,  2  ,    100.0000   ,      13.00,      329615,  18.31,    7.69,   2,  18.31,  81.69,   4105,   1415160,   0.24,  81.45,     10000,      7862
   36 ,  2  ,     10.0000   ,      15.00,       60080,   3.34,    0.67,   2,   3.34,  96.66,    220,   1680300,   0.01,  96.65,     10000,      9335
   36 ,  2  ,     20.0000   ,      15.00,       88190,   4.90,    1.33,   2,   4.90,  95.10,    730,   1638540,   0.04,  95.06,     10000,      9103
   36 ,  2  ,     30.0000   ,      15.00,      115115,   6.40,    2.00,   2,   6.40,  93.60,   1165,   1630440,   0.07,  93.54,     10000,      9058
   36 ,  2  ,     40.0000   ,      15.00,      134215,   7.46,    2.67,   2,   7.46,  92.54,   1505,   1616940,   0.09,  92.46,     10000,      8983
   36 ,  2  ,     50.0000   ,      15.00,      181225,  10.07,    3.33,   2,  10.07,  89.93,   2195,   1562940,   0.13,  89.81,     10000,      8683
   36 ,  2  ,     60.0000   ,      15.00,      198185,  11.01,    4.00,   2,  11.01,  88.99,   2515,   1546380,   0.14,  88.85,     10000,      8591
   36 ,  2  ,     70.0000   ,      15.00,      229500,  12.75,    4.67,   2,  12.75,  87.25,   3060,   1520460,   0.18,  87.07,     10000,      8447
